DT,SELL_DAY_FLG
4/2/2007,Y
4/3/2007,Y
4/4/2007,Y
4/5/2007,Y
4/6/2007,Y
4/7/2007,N
4/8/2007,N
4/9/2007,Y
4/10/2007,Y
4/11/2007,Y
4/12/2007,Y
4/13/2007,Y
4/14/2007,N
4/15/2007,N
4/16/2007,Y
4/17/2007,Y
4/18/2007,Y
4/19/2007,Y
4/20/2007,Y
4/21/2007,N
4/22/2007,N
4/23/2007,Y
4/24/2007,Y
4/25/2007,Y
4/26/2007,Y
4/27/2007,Y
4/28/2007,N
4/29/2007,N
4/30/2007,Y
5/1/2007,Y
5/2/2007,Y
5/3/2007,Y
5/4/2007,Y
5/5/2007,N
5/6/2007,N
5/7/2007,Y
5/8/2007,Y
5/9/2007,Y
5/10/2007,Y
5/11/2007,Y
5/12/2007,N
5/13/2007,N
5/14/2007,Y
5/15/2007,Y
5/16/2007,Y
5/17/2007,Y
5/18/2007,Y
5/19/2007,N
5/20/2007,N
5/21/2007,Y
5/22/2007,Y
5/23/2007,Y
5/24/2007,Y
5/25/2007,Y
5/26/2007,N
5/27/2007,N
5/28/2007,H
5/29/2007,Y
5/30/2007,Y
5/31/2007,Y
6/1/2007,Y
6/2/2007,N
6/3/2007,N
6/4/2007,Y
6/5/2007,Y
6/6/2007,Y
6/7/2007,Y
6/8/2007,Y
6/9/2007,N
6/10/2007,N
6/11/2007,Y
6/12/2007,Y
6/13/2007,Y
6/14/2007,Y
6/15/2007,Y
6/16/2007,N
6/17/2007,N
6/18/2007,Y
6/19/2007,Y
6/20/2007,Y
6/21/2007,Y
6/22/2007,Y
6/23/2007,N
6/24/2007,N
6/25/2007,Y
6/26/2007,Y
6/27/2007,Y
6/28/2007,Y
6/29/2007,Y
6/30/2007,N
7/1/2007,N
7/2/2007,Y
7/3/2007,Y
7/4/2007,H
7/5/2007,Y
7/6/2007,Y
7/7/2007,N
7/8/2007,N
7/9/2007,Y
7/10/2007,Y
7/11/2007,Y
7/12/2007,Y
7/13/2007,Y
7/14/2007,N
7/15/2007,N
7/16/2007,Y
7/17/2007,Y
7/18/2007,Y
7/19/2007,Y
7/20/2007,Y
7/21/2007,N
7/22/2007,N
7/23/2007,Y
7/24/2007,Y
7/25/2007,Y
7/26/2007,Y
7/27/2007,Y
7/28/2007,N
7/29/2007,N
7/30/2007,Y
7/31/2007,Y
8/1/2007,Y
8/2/2007,Y
8/3/2007,Y
8/4/2007,N
8/5/2007,N
8/6/2007,Y
8/7/2007,Y
8/8/2007,Y
8/9/2007,Y
8/10/2007,Y
8/11/2007,N
8/12/2007,N
8/13/2007,Y
8/14/2007,Y
8/15/2007,Y
8/16/2007,Y
8/17/2007,Y
8/18/2007,N
8/19/2007,N
8/20/2007,Y
8/21/2007,Y
8/22/2007,Y
8/23/2007,Y
8/24/2007,Y
8/25/2007,N
8/26/2007,N
8/27/2007,Y
8/28/2007,Y
8/29/2007,Y
8/30/2007,Y
8/31/2007,Y
9/1/2007,N
9/2/2007,N
9/3/2007,H
9/4/2007,Y
9/5/2007,Y
9/6/2007,Y
9/7/2007,Y
9/8/2007,N
9/9/2007,N
9/10/2007,Y
9/11/2007,Y
9/12/2007,Y
9/13/2007,Y
9/14/2007,Y
9/15/2007,N
9/16/2007,N
9/17/2007,Y
9/18/2007,Y
9/19/2007,Y
9/20/2007,Y
9/21/2007,Y
9/22/2007,N
9/23/2007,N
9/24/2007,Y
9/25/2007,Y
9/26/2007,Y
9/27/2007,Y
9/28/2007,Y
9/29/2007,N
9/30/2007,N
10/1/2007,Y
10/2/2007,Y
10/3/2007,Y
10/4/2007,Y
10/5/2007,Y
10/6/2007,N
10/7/2007,N
10/8/2007,Y
10/9/2007,Y
10/10/2007,Y
10/11/2007,Y
10/12/2007,Y
10/13/2007,N
10/14/2007,N
10/15/2007,Y
10/16/2007,Y
10/17/2007,Y
10/18/2007,Y
10/19/2007,Y
10/20/2007,N
10/21/2007,N
10/22/2007,Y
10/23/2007,Y
10/24/2007,Y
10/25/2007,Y
10/26/2007,Y
10/27/2007,N
10/28/2007,N
10/29/2007,Y
10/30/2007,Y
10/31/2007,Y
11/1/2007,Y
11/2/2007,Y
11/3/2007,N
11/4/2007,N
11/5/2007,Y
11/6/2007,Y
11/7/2007,Y
11/8/2007,Y
11/9/2007,Y
11/10/2007,N
11/11/2007,N
11/12/2007,Y
11/13/2007,Y
11/14/2007,Y
11/15/2007,Y
11/16/2007,Y
11/17/2007,N
11/18/2007,N
11/19/2007,Y
11/20/2007,Y
11/21/2007,Y
11/22/2007,H
11/23/2007,H
11/24/2007,N
11/25/2007,N
11/26/2007,Y
11/27/2007,Y
11/28/2007,Y
11/29/2007,Y
11/30/2007,Y
12/1/2007,N
12/2/2007,N
12/3/2007,Y
12/4/2007,Y
12/5/2007,Y
12/6/2007,Y
12/7/2007,Y
12/8/2007,N
12/9/2007,N
12/10/2007,Y
12/11/2007,Y
12/12/2007,Y
12/13/2007,Y
12/14/2007,Y
12/15/2007,N
12/16/2007,N
12/17/2007,Y
12/18/2007,Y
12/19/2007,Y
